status,date(created_at),date(closed_at)
closed,2015-07-24,2015-07-24
open,2015-07-07,""
open,2015-07-07,""
open,2015-07-12,""
open,2015-07-15,""
open,2015-07-16,""
open,2015-07-17,""
open,2015-07-20,""
open,2015-07-20,""
open,2015-07-21,""
open,2015-07-21,""
open,2015-07-21,""
open,2015-07-22,""
open,2015-07-22,""
open,2015-07-22,""
open,2015-07-22,""
open,2015-07-22,""
open,2015-07-22,""
open,2015-07-23,""
open,2015-07-23,""
